Adresse,Stimmart,Bezirknr,Bezirksname,Wahlbezirk,Wahlbezirksart,Abgeordnetenhauswahlkreis,Bundestagswahlkreis,BerlinOstWest,Wahlberechtigte_insgesamt,Wahlberechtigte_A1,Wahlberechtigte_A2,Wahlberechtigte_A3,W�hler,W�hler_B1,Ung�ltige_Stimmen,Gueltige_Stimmen,SPD,CDU,GR�NE,DIE_LINKE,PIRATEN,NPD,FDP,Tierschutzpartei,pro_Deutschland,Die_PARTEI,BIG,DKP,�dp,PSG,B�So,B,DL,ALFA,Tierschutzallianz,AfD,DIE_EINHEIT,DIE_VIOLETTEN,Graue_Panther,MENSCHLICHE_WELT,MIETERPARTEI,Gesundheitsforschung,EB_Bahn,EB_Bayrak,EB_�etin,EB_Di_Leo,EB_Ditsche,EB_Fielsch,EB_Friedrich,EB_Gl�ser,EB_Heine,EB_Mandik,EB_�zi?ik,EB_Quednau,EB_Sandner,EB_?en,EB_Snelinski,EB_Steinf�hr,EB_Tanriverdi,EB_Tschammer-Osten
01B1A,Erststimme,1,Mitte,1A,Briefwahlbezirk,1,75,O,0,0,0,0,1480,1480,10,1468,317,361,356,192,27,0,127,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B1B,Erststimme,1,Mitte,1B,Briefwahlbezirk,1,75,O,0,0,0,0,1176,1176,10,1162,220,254,266,184,16,0,131,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B1C,Erststimme,1,Mitte,1C,Briefwahlbezirk,1,75,O,0,0,0,0,1094,1094,14,1079,227,224,322,137,19,0,89,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B1D,Erststimme,1,Mitte,1D,Briefwahlbezirk,1,75,O,0,0,0,0,1121,1121,7,1111,214,177,372,142,29,0,111,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B1E,Erststimme,1,Mitte,1E,Briefwahlbezirk,1,75,O,0,0,0,0,1450,1450,10,1440,318,247,461,184,33,0,125,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B2A,Erststimme,1,Mitte,2A,Briefwahlbezirk,2,75,O,0,0,0,0,1454,1454,10,1443,303,304,117,377,19,0,134,0,8,0,0,0,0,0,0,0,0,0,0,178,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B2B,Erststimme,1,Mitte,2B,Briefwahlbezirk,2,75,O,0,0,0,0,1376,1376,11,1354,338,198,211,374,22,0,74,0,5,0,0,0,0,0,0,0,0,0,0,124,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B2C,Erststimme,1,Mitte,2C,Briefwahlbezirk,2,75,O,0,0,0,0,1136,1136,8,1106,233,157,181,308,20,0,85,0,4,0,0,0,0,0,0,0,0,0,0,114,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B2D,Erststimme,1,Mitte,2D,Briefwahlbezirk,2,75,O,0,0,0,0,939,939,9,923,202,109,61,358,19,0,27,0,7,0,0,0,0,0,0,0,0,0,0,137,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01B2E,Erststimme,1,Mitte,2E,Briefwahlbezirk,2,75,O,0,0,0,0,1069,1069,14,1052,202,181,131,343,13,0,59,0,7,0,0,0,0,0,0,0,0,0,0,109,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
