Bezirk,Wahl-bezirk,PLZ,Anschrift
1,100,10115,Chausseestr.  84
1,101,10115,Hannoversche Str.  20
1,102,10115,Chausseestr.  84
1,103,10115,Hannoversche Str.  7
1,104,13347,Schönwalder Str.  4
1,105,10115,Torstr.  203
1,106,10115,Gartenstr.  10-15
1,107,10115,Bergstr.  58
1,108,10115,Torstr.  203
1,109,10115,Bergstr.  5-9
1,110,10115,Brunnenstr.  148
1,111,10115,Ruppiner Str.  47
1,112,10115,Ruppiner Str.  47
1,113,10119,Fehrbelliner Str.  80
1,114,10115,Ruppiner Str.  47
1,115,10119,Zehdenicker Str.  17
1,116,10119,Veteranenstr.  10
1,117,10119,Zehdenicker Str.  17
1,118,10115,Linienstr.  122
1,119,10115,Linienstr.  122
1,120,13355,Ackerstr.  116
1,121,10119,Gipsstr.  23A
1,122,10119,Gipsstr.  23A
1,123,10119,Zehdenicker Str.  17
1,124,13355,Stralsunder Str.  43
1,125,10115,Gartenstr.  10-15
1,126,10115,Bergstr.  5-9
1,127,10115,Linienstr.  122
1,128,13355,Stralsunder Str.  43
1,129,13355,Stralsunder Str.  57
1,130,13355,Stralsunder Str.  57
1,131,13355,Stralsunder Str.  57
1,200,10117,Wilhelmstr.  52
1,201,10117,Wilhelmstr.  52
1,202,10117,Charlottenstr.  55
1,203,10117,Leipziger Str.  47
1,204,10117,Leipziger Str.  47
1,205,10178,Breite Str.  36
1,206,10179,Rungestr.  31
1,207,10178,Rochstr.  7
1,208,10178,Poststr.  13-14
1,209,10178,Weinmeisterstr.  16
1,210,10119,Rückerstr.  9
1,211,10178,Weinmeisterstr.  16
1,212,10178,Berolinastr.  8
1,213,10178,Berolinastr.  8
1,214,10178,Berolinastr.  8
1,215,10179,Singerstr.  8
1,216,10179,Magazinstr.  6-7
1,217,10179,Singerstr.  8
1,218,10179,Rungestr.  31
1,219,10179,Sebastianstr.  57
1,220,10179,Sebastianstr.  57
1,221,10179,Schmidstr.  8
1,222,10179,Schmidstr.  8
1,223,10179,Michaelkirchplatz  15
1,224,10179,Michaelkirchplatz  15
1,225,10179,Magazinstr.  6-7
1,226,10179,Singerstr.  8
1,227,10179,Sebastianstr.  57
1,228,10117,Dorotheenstr.  17
1,229,10178,Weinmeisterstr.  16
1,230,10178,Weinmeisterstr.  16
1,231,10178,Rosenthaler Str.  43-45
1,300,10557,Paulstr.  20b
1,301,10557,Paulstr.  20b
